COUNTRY;ISO3;WHO_REGION;DATA_SOURCE;DATE_UPDATED;TOTAL_VACCINATIONS;PERSONS_VACCINATED_1PLUS_DOSE;TOTAL_VACCINATIONS_PER100;PERSONS_VACCINATED_1PLUS_DOSE_PER100;PERSONS_LAST_DOSE;PERSONS_LAST_DOSE_PER100;VACCINES_USED;FIRST_VACCINE_DATE;NUMBER_VACCINES_TYPES_USED;PERSONS_BOOSTER_ADD_DOSE;PERSONS_BOOSTER_ADD_DOSE_PER100;
Saudi Arabia;SAU;EMRO;REPORTING;25/04/2023;6.85E+07;2.70E+07;197;78;2.54E+07;73;;06/01/2021;;1.61E+07;46;
Colombia;COL;AMRO;REPORTING;02/06/2023;9.05E+07;4.30E+07;178;85;3.70E+07;73;;17/02/2021;;1.48E+07;29;
Lebanon;LBN;EMRO;REPORTING;22/12/2022;5814699;2740227;85;40;2414223;35;;14/02/2021;;660249;10;
Republic of Korea;KOR;WPRO;REPORTING;04/09/2023;1.36E+08;4.51E+07;265;88;4.47E+07;87;;26/02/2021;;3.36E+07;66;
Trinidad and Tobago;TTO;AMRO;REPORTING;02/06/2023;1589640;754399;114;54;718969;51;;17/02/2021;;174836;12;
Slovakia;SVK;EURO;REPORTING;01/10/2023;7222567;2840027;132;52;2791711;51;;23/12/2020;;1686463;31;
Armenia;ARM;EURO;REPORTING;01/10/2023;2256919;1150915;76;39;1030758;35;;27/01/2021;;81354;3;
Guyana;GUY;AMRO;REPORTING;08/09/2023;967861;497550;123;63;384507;49;;11/02/2021;;80224;10;
Mexico;MEX;AMRO;REPORTING;30/06/2023;2.23E+08;9.67E+07;173;75;8.14E+07;63;;24/12/2020;;5.70E+07;44;
United Kingdom of Great Britain and Northern Ireland;GBR;EURO;REPORTING;11/09/2022;1.51E+08;5.38E+07;223;79;5.08E+07;75;;21/12/2020;;;;
Gibraltar;GIB;;REPORTING;;;;;;;;;;;;;
Kazakhstan;KAZ;EURO;REPORTING;30/04/2023;3.84E+07;1.24E+07;204;66;1.31E+07;70;;07/04/2021;;6801526;36;
Canada;CAN;AMRO;REPORTING;22/09/2023;9.90E+07;3.26E+07;262;87;3.13E+07;83;;14/12/2020;;1.99E+07;53;
France;FRA;EURO;REPORTING;09/07/2023;1.58E+08;5.47E+07;243;84;5.32E+07;82;;23/12/2020;;4.10E+07;63;
Mauritania;MRT;AFRO;REPORTING;19/11/2023;4075874;2103754;88;45;1540597;33;;26/03/2021;;383937;8;
Palau;PLW;WPRO;REPORTING;10/03/2023;51032;20295;282;100;18278;100;;03/01/2021;;12885;71;
Iraq;IRQ;EMRO;REPORTING;02/01/2023;1.96E+07;1.13E+07;49;28;7944775;20;;02/03/2021;;275280;1;
Burundi;BDI;AFRO;REPORTING;05/11/2023;41538;36909;;;36321;;;18/10/2021;;314;;
Oman;OMN;EMRO;REPORTING;25/10/2022;7108547;3279632;139;64;3048826;60;;29/12/2020;;779859;15;
Sao Tome and Principe;STP;AFRO;REPORTING;30/07/2023;263863;140256;120;64;111986;51;;15/03/2021;;34624;16;
Uzbekistan;UZB;EURO;REPORTING;24/09/2023;8.22E+07;2.21E+07;246;66;1.84E+07;55;;28/04/2021;;1.63E+07;49;
Solomon Islands;SLB;WPRO;REPORTING;04/07/2023;612700;335796;89;49;254016;37;;23/03/2021;;27896;4;
Mauritius;MUS;AFRO;REPORTING;30/07/2023;2616012;1123773;206;88;1088142;86;;26/01/2021;;654507;51;
Angola;AGO;AFRO;REPORTING;19/11/2023;2.77E+07;1.65E+07;84;50;9591203;29;;10/03/2021;;3014421;9;
Republic of Moldova;MDA;EURO;REPORTING;01/10/2023;2291436;1109270;57;27;1078813;27;;03/03/2021;;404774;10;
Bangladesh;BGD;SEARO;REPORTING;18/10/2023;3.62E+08;1.52E+08;220;92;1.42E+08;86;;27/01/2021;;6.85E+07;42;
Estonia;EST;EURO;REPORTING;01/10/2023;2205229;845148;166;64;842177;63;;23/12/2020;;487389;37;
Morocco;MAR;EMRO;REPORTING;14/05/2023;5.54E+07;2.50E+07;150;68;2.35E+07;64;;28/01/2021;;6925973;19;
Guatemala;GTM;AMRO;REPORTING;17/11/2023;2.04E+07;8937923;114;50;7130756;40;;25/02/2021;;3723701;21;
Greece;GRC;EURO;REPORTING;01/10/2023;2.20E+07;7917288;205;74;7745574;72;;23/12/2020;;5902357;55;
Wallis and Futuna;WLF;WPRO;REPORTING;23/01/2023;17303;7150;154;64;6803;60;;19/03/2021;;3350;30;
Afghanistan;AFG;EMRO;REPORTING;26/11/2023;2.26E+07;1.89E+07;58;49;1.81E+07;47;;22/02/2021;;2626670;7;
Niue;NIU;WPRO;REPORTING;04/03/2023;4923;1638;304;100;1635;100;;08/06/2021;;1225;76;
Japan;JPN;WPRO;REPORTING;03/10/2023;4.10E+08;1.05E+08;324;83;1.03E+08;82;;17/02/2021;;8.66E+07;68;
Spain;ESP;EURO;REPORTING;03/09/2023;1.13E+08;4.13E+07;238;87;3.75E+07;79;;30/12/2020;;2.66E+07;56;
Guinea-Bissau;GNB;AFRO;REPORTING;15/10/2023;920752;747057;47;38;547637;28;;02/04/2021;;76359;4;
Liechtenstein;LIE;;REPORTING;;71104;26681;;;26346;;;;;18310;;
Côte d'Ivoire;CIV;AFRO;REPORTING;19/02/2023;2.53E+07;1.36E+07;96;51;1.22E+07;46;;01/03/2021;;3138712;12;
Equatorial Guinea;GNQ;AFRO;REPORTING;24/07/2022;488738;270109;35;19;214032;15;;12/02/2021;;4597;;
Egypt;EGY;EMRO;REPORTING;21/05/2023;1.13E+08;5.69E+07;110;56;4.23E+07;41;;24/01/2021;;1.52E+07;15;
